Day,Time,InternalTemp,ExternalTemp,Occupancy,Consumption
5,22,19.36701389,19.36701389,0,20.91609283
5,23,19.10104167,19.10104167,0,24.52427242
5,24,18.86909722,18.86909722,0,15.45072658
6,1,18.6929078,18.6929078,0,17.521473
6,2,18.5988189,18.5988189,0,11.97321625
6,3,18.41884615,18.41884615,0,14.02412308
6,4,18.25,18.25,0,11.08778917
6,5,18.16804511,18.16804511,0,17.0387425
6,6,18.00071942,18.00071942,0,16.104187
6,7,17.93964286,17.93964286,0,18.00504725
6,8,18.56386861,18.56386861,1,25.07197433
6,9,19.02256944,19.02256944,1,29.26934567
6,10,19.33371212,19.33371212,1,25.56559283
6,11,19.43710938,19.43710938,1,38.167782
6,12,19.45117188,19.45117188,1,28.9644155
6,13,19.60294118,19.60294118,1,26.57842958
6,14,19.52773438,19.52773438,1,38.83902975
6,15,19.41054688,19.41054688,1,28.79049883
6,16,19.40681818,19.40681818,1,26.879859
6,17,19.42045455,19.42045455,1,23.9058505
6,18,19.39340278,19.39340278,1,31.335855
6,19,19.36215278,19.36215278,1,23.777832
6,20,19.25,19.25,1,23.29082617
6,21,19.20839161,19.20839161,0,24.2355975
6,22,19.07109375,19.07109375,0,20.91609283
6,23,19.08901515,19.08901515,0,24.52427242
6,24,19.00664063,19.00664063,0,15.45072658
7,1,19.03257576,19.03257576,0,17.521473
7,2,18.98188976,18.98188976,0,11.97321625
7,3,18.9125,18.9125,0,14.02412308
7,4,18.828125,18.828125,0,11.08778917
7,5,18.81550388,18.81550388,0,17.0387425
7,6,18.81287879,18.81287879,0,16.104187
7,7,18.74126984,18.74126984,0,18.00504725
7,8,18.98913043,18.98913043,1,25.07197433
7,9,19.07833333,19.07833333,1,29.26934567
7,10,19.12698413,19.12698413,1,25.56559283
7,11,19.33194444,19.33194444,1,38.167782
7,12,19.24534884,19.24534884,1,28.9644155
7,13,19.36408451,19.36408451,1,26.57842958
7,14,19.61616541,19.61616541,1,38.83902975
7,15,19.80851064,19.80851064,1,28.79049883
7,16,19.87952756,19.87952756,1,26.879859
7,17,19.84612676,19.84612676,1,23.9058505
7,18,19.93674242,19.93674242,1,31.335855
7,19,19.66967213,19.66967213,1,23.777832
7,20,19.18006993,19.18006993,1,23.29082617
7,21,18.8737931,18.8737931,0,24.2355975
7,22,18.57587413,18.57587413,0,20.91609283
7,23,18.3458042,18.3458042,0,24.52427242
7,24,19.49227941,19.49227941,0,15.45072658
1,1,19.42773438,19.42773438,0,17.521473
1,2,19.27961538,19.27961538,0,11.97321625
1,3,19.1519084,19.1519084,0,14.02412308
1,4,18.9984,18.9984,0,11.08778917
1,5,18.88333333,18.88333333,0,17.0387425
1,6,18.79496124,18.79496124,0,16.104187
1,7,18.92580645,18.92580645,0,18.00504725
1,8,19.59846154,19.59846154,1,25.07197433
1,9,20.48669355,20.48669355,1,29.26934567
1,10,21.31162791,21.31162791,1,25.56559283
1,11,21.57350746,21.57350746,1,38.167782
1,12,21.69291045,21.69291045,1,28.9644155
1,13,21.79604317,21.79604317,1,26.57842958
1,14,21.71744186,21.71744186,1,38.83902975
1,15,21.56902985,21.56902985,1,28.79049883
1,16,21.20520833,21.20520833,1,26.879859
1,17,20.81679104,20.81679104,1,23.9058505
1,18,20.41328125,20.41328125,1,31.335855
1,19,20.12070313,20.12070313,1,23.777832
1,20,19.83267717,19.83267717,1,23.29082617
1,21,19.5265625,19.5265625,0,24.2355975
1,22,19.296875,19.296875,0,20.91609283
1,23,19.07581967,19.07581967,0,24.52427242
1,24,18.91601563,18.91601563,0,15.45072658
1,1,18.72827869,18.72827869,0,17.521473
